{'id': 13089, 'gender': 'male', 'income': 'high', 'age': 53, 'merchantId': 2, 'loc_address': '8625', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15810, 'gender': 'female', 'income': 'low', 'age': 22, 'merchantId': 2, 'loc_address': '87797', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15556, 'gender': 'female', 'income': 'high', 'age': 29, 'merchantId': 2, 'loc_address': '29257', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13137, 'gender': 'male', 'income': 'medium', 'age': 29, 'merchantId': 2, 'loc_address': '97818', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16241, 'gender': 'male', 'income': 'low', 'age': 36, 'merchantId': 2, 'loc_address': '79200', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14472, 'gender': 'male', 'income': 'medium', 'age': 48, 'merchantId': 2, 'loc_address': '99543', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14646, 'gender': 'male', 'income': 'medium', 'age': 45, 'merchantId': 2, 'loc_address': '24279', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14527, 'gender': 'female', 'income': 'medium', 'age': 47, 'merchantId': 2, 'loc_address': '74426', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14543, 'gender': 'male', 'income': 'high', 'age': 23, 'merchantId': 2, 'loc_address': '3231', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16701, 'gender': 'male', 'income': 'medium', 'age': 39, 'merchantId': 2, 'loc_address': '42782', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15901, 'gender': 'female', 'income': 'high', 'age': 39, 'merchantId': 2, 'loc_address': '90992', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14667, 'gender': 'female', 'income': 'high', 'age': 34, 'merchantId': 2, 'loc_address': '76983', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14096, 'gender': 'male', 'income': 'medium', 'age': 39, 'merchantId': 2, 'loc_address': '12672', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 12476, 'gender': 'female', 'income': 'high', 'age': 52, 'merchantId': 2, 'loc_address': '42042', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17841, 'gender': 'female', 'income': 'low', 'age': 51, 'merchantId': 2, 'loc_address': '85957', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13617, 'gender': 'male', 'income': 'low', 'age': 22, 'merchantId': 2, 'loc_address': '91443', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14973, 'gender': 'male', 'income': 'low', 'age': 35, 'merchantId': 2, 'loc_address': '65872', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13319, 'gender': 'female', 'income': 'medium', 'age': 19, 'merchantId': 2, 'loc_address': '24608', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17120, 'gender': 'female', 'income': 'low', 'age': 26, 'merchantId': 2, 'loc_address': '82022', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13004, 'gender': 'female', 'income': 'low', 'age': 37, 'merchantId': 2, 'loc_address': '52523', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13018, 'gender': 'male', 'income': 'high', 'age': 18, 'merchantId': 2, 'loc_address': '45414', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17954, 'gender': 'female', 'income': 'high', 'age': 22, 'merchantId': 2, 'loc_address': '55423', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17885, 'gender': 'male', 'income': 'high', 'age': 22, 'merchantId': 2, 'loc_address': '83670', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16258, 'gender': 'female', 'income': 'medium', 'age': 20, 'merchantId': 2, 'loc_address': '40463', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14409, 'gender': 'female', 'income': 'medium', 'age': 48, 'merchantId': 2, 'loc_address': '75123', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17337, 'gender': 'male', 'income': 'medium', 'age': 39, 'merchantId': 2, 'loc_address': '21654', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 12431, 'gender': 'male', 'income': 'medium', 'age': 21, 'merchantId': 2, 'loc_address': '32067', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17068, 'gender': 'male', 'income': 'high', 'age': 41, 'merchantId': 2, 'loc_address': '81125', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16684, 'gender': 'male', 'income': 'low', 'age': 35, 'merchantId': 2, 'loc_address': '46165', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13224, 'gender': 'male', 'income': 'low', 'age': 31, 'merchantId': 2, 'loc_address': '67248', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 18109, 'gender': 'female', 'income': 'medium', 'age': 18, 'merchantId': 2, 'loc_address': '50916', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13838, 'gender': 'female', 'income': 'high', 'age': 51, 'merchantId': 2, 'loc_address': '91108', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15370, 'gender': 'female', 'income': 'medium', 'age': 28, 'merchantId': 2, 'loc_address': '79329', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16261, 'gender': 'male', 'income': 'low', 'age': 50, 'merchantId': 2, 'loc_address': '48861', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14125, 'gender': 'male', 'income': 'low', 'age': 52, 'merchantId': 2, 'loc_address': '96913', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 12753, 'gender': 'female', 'income': 'high', 'age': 45, 'merchantId': 2, 'loc_address': '98761', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 12681, 'gender': 'male', 'income': 'medium', 'age': 38, 'merchantId': 2, 'loc_address': '7496', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14796, 'gender': 'female', 'income': 'medium', 'age': 41, 'merchantId': 2, 'loc_address': '65402', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15700, 'gender': 'male', 'income': 'low', 'age': 18, 'merchantId': 2, 'loc_address': '3385', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15241, 'gender': 'female', 'income': 'high', 'age': 30, 'merchantId': 2, 'loc_address': '66796', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16255, 'gender': 'female', 'income': 'medium', 'age': 25, 'merchantId': 2, 'loc_address': '18694', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14560, 'gender': 'male', 'income': 'low', 'age': 48, 'merchantId': 2, 'loc_address': '5386', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16098, 'gender': 'male', 'income': 'high', 'age': 32, 'merchantId': 2, 'loc_address': '65512', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16782, 'gender': 'female', 'income': 'medium', 'age': 55, 'merchantId': 2, 'loc_address': '1644', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13668, 'gender': 'female', 'income': 'low', 'age': 34, 'merchantId': 2, 'loc_address': '63980', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13791, 'gender': 'female', 'income': 'high', 'age': 45, 'merchantId': 2, 'loc_address': '10628', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 16249, 'gender': 'male', 'income': 'medium', 'age': 23, 'merchantId': 2, 'loc_address': '47078', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15655, 'gender': 'female', 'income': 'low', 'age': 29, 'merchantId': 2, 'loc_address': '86741', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 12407, 'gender': 'male', 'income': 'low', 'age': 36, 'merchantId': 2, 'loc_address': '27009', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 17419, 'gender': 'female', 'income': 'medium', 'age': 43, 'merchantId': 2, 'loc_address': '80549', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 13013, 'gender': 'male', 'income': 'medium', 'age': 21, 'merchantId': 2, 'loc_address': '22258', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14367, 'gender': 'female', 'income': 'medium', 'age': 20, 'merchantId': 2, 'loc_address': '85017', 'customerSegment': 'middle class', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 14321, 'gender': 'female', 'income': 'medium', 'age': 55, 'merchantId': 2, 'loc_address': '18466', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15311, 'gender': 'female', 'income': 'high', 'age': 20, 'merchantId': 2, 'loc_address': '35833', 'customerSegment': 'corporate', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
{'id': 15707, 'gender': 'male', 'income': 'low', 'age': 55, 'merchantId': 2, 'loc_address': '18595', 'customerSegment': 'small business', 'createdAt': 'DATE', 'updatedAt': 'DATE'},
